fullname,full_address,gpt-response
"Key Laboratory for Geomechanics and Embankment Engineering, Ministry of Education","Nanjing, 210098, China",Hohai University
Key Laboratory of Education Ministry for Image Processing and Intelligent Control,"Wuhan, China",Huazhong University of Science and Technology
"Research Center for Environmental Ecology and Engineering, Key Laboratory for Green Chemical Process of Ministry of Education, Hubei Key Laboratory of Novel Reactor and Green Chemical Technology, School of Environmental Ecology and Biological Engineering, Wuhan Institute of Technology","Wuhan, China",Wuhan Institute of Technology
Engineering Research Center of Standardization of Chinese Med. Processing under State Min. of Educ.,"Nanjing 210029, China",Unknown
"Shandong Provincial Key Laboratory of Olefin Catalysis and Polymerization, Key Laboratory of Rubber-Plastics (QUST), Ministry of Education/Shandong","Qingdao, 266042, China",Qingdao University of Science and Technology
"Key Laboratory of Grassland Ecosystem, Ministry of Education/Pratacultural Engineering Laboratory of Gansu Province","Lanzhou, 730070, China",Unknown
"Water Cycle and Geological Environment Observation and Research Station for the Chinese Loess Plateau, Ministry of Education","Qingyang, 745300, China",Unknown
"Key Laboratory of Mining and Safety, Ministry of Education","Xuzhou 221008, China",China University of Mining and Technology
"Key Laboratory of Straw Biology and Utilization, The Ministry of Education","Changchun, China",Jilin Agricultural University
Key Laboratory for Reproductive Endocrinology of Ministry of Education,"Jinan 250021, China",Shandong University
The Key Laboratory of Nonferrous Materials Science and Engineering of Ministry of Education,"Changsha 410083, China",Central South University
"Department of Rheumatology, Key Laboratory of Rheumatology and Cinical Immunology, Ministry of Education","Beijing, 100730, China",Unknown
"Key Laboratory of Biomedical Engineering, Ministry of Education and Chongqing Municipality","Chongqing, 400044, China",Chongqing University
"China GIS Software Research and Application Engineering Center, Ministry of Education","Wuhan 430074, China",Unknown
"Engineering Research Center of Biomass Materials, Ministry of Education","Mianyang, China",Unknown
"Key Laboratory of Concrete and Prestressed Concrete Structures of Ministry of Education, Southeast Univ","Nanjing, 211189, China",Southeast University
"Key Laboratory of Cnc Equipment Reliability, Ministry of Education","Changchun, Jilin, 130022, China",Jilin University
"Key Laboratory of Material and Technology for Clean Energy, Ministry of Education",China,Unknown
"Key Laboratory of Instrumentation Science, Dynamic Measurement Ministry of Education","Taiyuan, Shanxi 030051, China",Taiyuan University of Technology
"Key Laboratory of Micro-Systems and Microstructures Manufacturing of Ministry of Education, Harbin Institute of Technology","Harbin, 150080, China",Harbin Institute of Technology
Key Laboratory of Birth Defects and Related Diseases of Women and Children Ministry of Education,"Chengdu, China",Sichuan University
"Key Laboratory of Luminescence and Real-time Analytical Chemistry, Min. of Educ., Coll. of Chem. and Chem. Eng., SW Univ.","Chongqing, 400715, China",Southwest University
"School of Optoelectronics, Beijing Institute of Technology, Key Laboratory of Photo Electronic Imaging Technology and System, Ministry of Education of China","Beijing, 100081, China",Beijing Institute of Technology
Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education,"Beijing, China",Unknown
Key Laboratory of Aerospace Materials and Performance (Ministry of Education),"Beijing 100191, China",Beihang University
"The Key Laboratory of Enhanced Heat Transfer and Energy Conservation of Education Ministry, The Beijing Municipal Key Laboratory of Heat Transfer and Energy Conservation, College of Environmental and Energy Engineering","Beijing 100124, China",Beijing University of Technology
"Department of Chemistry, Key Laboratory of Cluster Science of Ministry of Education, Beijing Institute of Technology","100081 Beijing, China",Beijing Institute of Technology
"Western Engineering Research Center for Disaster Mitigation in Civil Engineering, Ministry of Education","Lanzhou, 730050, China",Lanzhou University
"Key laboratory of Biomedical Information Engineering, Education Ministry, Institute of Biomedical Engineering","710049 Xi'an, China",Xi'an Jiaotong University
"The Key Laboratory of Poyang Lake Environment and Resource Utilization, Ministry of Education","Nanchang, 330031, Jiangxi, China",Nanchang University
"Key Laboratory of Advanced Perception and Intelligent Control of High-end Equipment, Ministry of Education","Anhui, Wuhu, China",Unknown
"Key Laboratory of Cluster Science of Ministry of Education, Beijing Key Laboratory of Photoelectronic/Electrophotonic, Beijing Institute of Technology, Conversion Materials, School of Chemistry","5 Zhongguancun Road, Beijing, 100081, China",Beijing Institute of Technology
"2The Key Laboratory of Exploration and Utilization of Aquatic Genetic Resources, Ministry of Education","Shanghai, China",Shanghai Ocean University
"Key Laboratory of Functional Polymer Materials, Ministry of Education, Department of Materials Chemistry","Tianjin 300071, China",Tianjin University
"Key Laboratory of C and PC Structures of the Ministry of Education, Southeast Univ.","Si-Pai Lou 2#, Nanjing, 210096, China",Southeast University
"Key Laboratory of Eco-textiles, Ministry of Education",China,Jiangnan University
"Engineering Research Center of Aero-engine Technology for General Aviation, Ministry of Education","Nanchang, 330063, China",Nanchang Hangkong University
"Key Laboratory of Marine Drugs, Ministry of Education of China","Qingdao, 266003, China",Ocean University of China
"Key Laboratory of Structural Dynamic Behavior and Control of Ministry of Education, School of Civil Engineering, Harbin Institute of Technology","Harbin, 150090, China",Harbin Institute of Technology
"Key Laboratory of Molecular Engineering of Polymers, Ministry of Education, Department of Macromolecular Science","Shanghai, 200433, 220 Handan Road, China",Fudan University
Key Lab. of Educ. Min. Optoelectronics Msrmt. and Contr. and Optical Information Transfer Technology,"Changchun 130022, China",Unknown
"Key Laboratory of Rd. and Traffic Engineering, Ministry of Education, Tongji Univ.","Shanghai, 201804, China",Tongji University
"Engineering Research Center of Biomembrane Water Purification and Utilization Technology, Ministry of Education","Ma'anshan, 243002, Anhui, China",Unknown
Engineering Research Centerfor Dedicated Communication System Ministry of Education,"Harbin, China",Harbin Institute of Technology
"Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, International Research Center for Intelligent Perception and Computation, Joint International Research Laboratory of Intelligent Perception and Computation","Xi'an, China",Northwestern Polytechnical University
"Key Laboratory of Green Chemical Process of Ministry of Education, Hubei Key Laboratory of Novel Chemical Reactor and Green Chemical Technology, School of Chemical Engineering & Pharmacy, Wuhan Institute of Technology","Wuhan, 430073, China",Wuhan Institute of Technology
"College of Chemistry, Key Laboratory of Environmentally Friendly Chemistry and Applications, Ministry of Education","Xiangtan, 411105, China",Xiangtan University
"Key Laboratory of Interface Science and Engineering of Advanced Materials, Ministry of Education",China,Unknown
"Key Laboratory of Trustworthy Distributed Computing and Service, Ministry of Education","100876, China",Unknown
"Key Laboratory of Complex System Safety and Control, Ministry of Education","Chongqing, 400000, China",Chongqing University
"Engineering Research Center, Ministry of Education for Efficient Utilization of Mineral Resources in Western of China","Kunming 650093, China",Kunming University of Science and Technology
"Education Ministry, Key Laboratory of Complex System Intelligent Control and Decision, Beijing Institute of Technology","Beijing 100081, China",Beijing Institute of Technology
"Key Laboratory of Longevity and Ageing-related Diseases, Ministry of Education","Nanning, 530021, Guangxi, China",Guangxi Medical University
"Key Laboratory of Arid and Grassland Agroecology, Ministry of Education","Lanzhou, 730000, China",Lanzhou University
"Province-Ministry Co-Constuct Key Laboratory of Humid Subtropical Eco-Geographical Process, Ministry of Education, Fujian Province Key Laboratory of Subtropical Resources and Environment","Fuzhou 350007, China",Fujian Normal University
"Key Laboratory of Resource Biology and Biotechnology in Western China, Ministry of Education Institute of Population and Health, Institute of Application Psychology","Xi'an 710069, 229 Tai Bai Road, China",Shaanxi Normal University
"Key Laboratory of Spacecraft Design Optimization and, Dynamic Simulation Technologies, Ministry of Education",China,Unknown
"School of Resources Environmental and Chemical Engineering, Key Laboratory of Poyang Lake Environmental and Resource Utilization, Ministry of Education","Nanchang, 330031, China",Nanchang University
"School of Mines, Key Laboratory of Deep Coal Resource Mining, Ministry of Education","Xuzhou, 221116, Jiangsu, China",China University of Mining and Technology
The Key Lab of the Ministry of Education for Process Control & Efficiency Engineering,"Xi'an , 710049, China",Unknown
"Key Lab of Structures Dynamic Behavior and Control, Harbin Institute of Technology, Ministry of Education","Harbin 150090, Heilongjiang, China",Harbin Institute of Technology
"Biosensor National Special Lab, Key Lab for Biomedical Engineering of Ministry of Education, Department of Biomedical Engineering","Hangzhou, China",Zhejiang University
"Key Laboratory of Bioactivity Substance and Resources Utilization of Chinese Herbal Medicine, Peking Union Medica College, Ministry of Education Institute of Materia Medica","Beijing 100050, China",Peking Union Medical College
